timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,minmax,0.05243099406882002,0.2289781519464685,0.2140736657800595,2.633547914763767
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,minmax,0.0008048688264055362,0.028370210193185672,0.017634447013636183,0.3124436133484074
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,maxabs,10.954404796466282,3.3097439170525385,2.584566086919874,0.41155781378943584
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,maxabs,0.002146855322617713,0.04633417014059616,0.04302855603517819,0.6746127943545962
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,maxabs,0.14378016704025878,0.3791835532301721,0.3536902555191207,10.621192635675419
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,maxabs,0.11658449322016033,0.34144471473455307,0.31988979827054803,3.8856802248459417
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,maxabs,0.0005778304019382319,0.024038103126874048,0.017714803641304185,0.4454364510824665
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,minmax,10.888734917148073,3.299808315212881,2.5758827475912516,0.41519777069785035
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,minmax,0.00021301483119580612,0.014595027618877812,0.012377451513452518,0.20461895694809684
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,minmax,0.07712145190910771,0.2777074934334825,0.2593644618410889,7.862490194781663
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,minmax,0.05346460455031969,0.23122414352813525,0.2164701765944441,2.660745529104082
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,0.5,minmax,0.0008052048113845894,0.02837613101507303,0.01762714168703101,0.3119696264563672
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,maxabs,10.95524843991165,3.309871363045949,2.5847394896800995,0.41160858508143083
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.0,maxabs,0.0021471936096680968,0.0463378205105516,0.04302974278436801,0.6745862576162851
